airline|country|IATA|ICAO|callsign
Air Tahiti|French Polynesia|VT|VTA|AIR TAHITI
Air Tahiti Nui|France|TN|THT|TAHITI AIRLINES
Air Tanzania|Tanzania|TC|ATC|TANZANIA
Air Togo|Togo|YT|TGA|AIR TOGO
Air Transat|Canada|TS|TSC|AIR TRANSAT
Air Transport International|United States|8C|ATN|AIR TRANSPORT
Air Turks and Caicos|Turks and Caicos Islands|JY|TCI|KERRMONT
Air Uganda|Uganda|U7|UGA|UGANDA
Air Ukraine|Ukraine|6U|UKR|AIR UKRAINE
Air Urga|Ukraine|3N|URG|URGA
Air Vanuatu|Vanuatu|NF|AVN|AIR VAN
Air Vegas|United States|6V|VGA|AIR VEGAS
Air Volga|Russia|G6|WLG|GOUMRAK
Air Wales|United Kingdom|6G|AWW|RED DRAGON
Air Wisconsin|United States|ZW|AWI|AIR WISCONSIN
Air Zimbabwe|Zimbabwe|UM|AZW|AIR ZIMBABWE
air-taxi europe|Germany|TZ|TWG|TWINGOOSE
AirAsia|Malaysia|AK|AXM|ASIAN EXPRESS
Airasia X|Malaysia|D7|XAX|XANADU
Airblue|Pakistan|ED|ABQ|PAKBLUE
Airborne Express|United States|GB|ABX|ABEX
AirBridge Cargo|Russia|RU|ABW|AIRBRIDGE CARGO
Airbus France|France|4Y|RBU|AIRBUS FRANCE
Airbus Industrie|France|AP|AIB|AIRBUS INDUSTRIE
Aircompany Yakutia|Russia|R3|SYL|AIR YAKUTIA
Aires, Aerovías de Integración Regional, S.A.|Colombia|4C|ARE|AIRES
Airlinair|France|A5|RLA|AIRLINAIR
Airlines of Tasmania|Australia|FO|ATM|AIRTAS
Airlines PNG|Papua New Guinea|CG|TOK|BALUS
Airnorth|Australia|TL|ANO|TOPEND
Airstars|Russia|PL|ASE|MOROZOV
AirTran Airways|United States|FL|TRS|CITRUS
Alaska Airlines, Inc.|United States|AS|ASA|ALASKA
Alaska Central Express|United States|KO|AER|ACE AIR
Albanian Airlines|Albania|LV|LBC|ALBANIAN
Albarka Air|Nigeria|F4|NBK|AL-AIR
Alidaunia|Italy|D4|LID|ALIDA
Alitalia|Italy|AZ|AZA|ALITALIA
All Nippon Airways|Japan|NH|ANA|ALL NIPPON
Allegiant Air|United States|G4|AAY|ALLEGIANT
Allegro|Mexico|LL|GRO|ALLEGRO
Alliance Air|India|CD|LLR|ALLIED
Alliance Airlines|Australia|QQ|UTY|UNITY
Aloha Airlines|United States|AQ|AAH|ALOHA
Alpi Eagles|Italy|E8|ELG|ALPI EAGLES
Alpine Air Express|United States|5A|AIP|ALPINE AIR
Alrosa Mirny Air Enterprise|Russia|6R|DRU|MIRNY
Amadeus Global Travel Distribution|Spain|1A|AGT|AMADEUS
Amber Air|Lithuania|0A|GNT|GINTA
America West Airlines|United States|HP|AWE|CACTUS
American Airlines|United States|AA|AAL|AMERICAN
American Eagle Airlines|United States|MQ|EGF|EAGLE FLIGHT
American Falcon|Argentina|WK|AFB|AMERICAN FALCON
Amerijet International|United States|M6|AJT|AMERIJET
Ansett Australia|Australia|AN|AAA|ANSETT
Antinea Airlines|Algeria|HO|DJA|ANTINEA
Antrak Air|Ghana|O4|ABV|ANTRAK
AOM French Airlines|France|IW|AOM|French Lines
Arctic Circle Air Service|United States|5F|CIR|AIR ARCTIC
Arcus-Air Logistic|Germany|ZE|AZE|ARCUS AIR
Ariana Afghan Airlines|Afghanistan|FG|AFG|ARIANA
Arkefly|Netherlands|OR|TFL|ARKEFLY
Arkia Israel Airlines|Israel|IZ|AIZ|ARKIA
Armavia|Armenia|U8|RNV|ARMAVIA
Armenian Airlines|Armenia|R3|RME|ARMENIAN
Arrow Air|United States|JW|APW|BIG A
Aserca Airlines|Venezuela|R7|OCA|AROSCA
Asia Overnight Express|Philippines|OE|AOT|ASIA OVERNIGHT
Asian Express Airlines|Australia|HJ|AXF|FREIGHTEXPRESS
Asian Spirit|Philippines|6K|RIT|ASIAN SPIRIT
Asiana Airlines|Republic of Korea|OZ|AAR|ASIANA
Askari Aviation|Pakistan|4K|AAS|AL-AAS
Astar Air Cargo|United States|ER|DHL|D-H-L
Astraeus|United Kingdom|5W|AEU|FLYSTAR
Astrakhan Airlines|Russia|OB|ASZ|AIR ASTRAKHAN
Astral Aviation|Kenya|8V|ACP|ASTRAL CARGO
ATA Airlines|United States|TZ|AMT|AMTRAN
Atlant-Soyuz Airlines|Russia|3G|AYZ|ATLANT-SOYUZ
Atlantic Airways|Faroe Islands|RC|FLI|FAROELINE
Atlantic Southeast Airlines|United States|EV|ASQ|ACEY
Atlas Air|United States|5Y|GTI|GIANT
Atlas Blue|Morocco|8A|BMM|ATLAS BLUE
Atlasjet|Turkey|KK|KKK|ATLASJET
ATRAN Cargo Airlines|Russian Federation|V8|VAS|ATRAN
Atyrau Air Ways|Kazakhstan|IP|JOL|EDIL
Augsburg Airways|Germany|IQ|AUB|AUGSBURG-AIR
Aurigny Air Services|United Kingdom|GR|AUR|AYLINE
Austral Líneas Aéreas|Argentina|AU|AUT|AUSTRAL
Australian Airlines|Australia|AO|AUZ|AUSTRALIAN
Austrian Airlines|Austria|OS|AUA|AUSTRIAN
Austrian Arrows|Austria|VO|TYR|TYROLEAN
AVCOM|Russia|J6|AOC|AERO AVCOM
Avensa|Venezuela|VE|AVE|AVENSA
Avia Express|Sweden|JZ|SKX|SKY EXPRESS
Aviacsa|Mexico|6A|CHP|AVIACSA
Aviaexpress|Hungary|RX|AEH|AVEX
Avialeasing Aviation Company|Uzbekistan|EC|TWN|TWINARROW
Avianca - Aerovías Nacionales de Colombia, S.A.|Colombia|AV|AVA|AVIANCA
Avient Aviation|Zimbabwe|Z3|SMJ|AVAVIA
Avies|Estonia|U3|AIA|AVIES
Aviogenex|Serbia|JJ|AGX|GENEX
Avirex|Gabon|G2|VXG|AVIREX-GABON
Avolar Aerolíneas|Mexico|V5|VLI|AEROVOLAR
Axis Airways|France|6V|AXY|AXIS
Azerbaijan Airlines|Azerbaijan|J2|AHY|AZAL
Azul Linhas Aereas Brasileiras|Brazil|AD|AZU|Azul
Azzurra Air|Italy|ZS|AZI|AZZURRA
B and H Airlines|Bosnia and Herzegovina|JA|BON|Air Bosna
BACH Flugbetriebsges|Austria|B4|BCF|BACH
Bahamasair|Bahamas|UP|BHS|BAHAMAS
Baker Aviation|United States|8Q*|BAJ|BAKER AVIATION
BAL Bashkirian Airlines|Russia|V9|BTC|BASHKIRIAN
Bangkok Airways|Thailand|PG|BKP|BANGKOK AIR
Bankair|United States|B4|BKA|BANKAIR
Barents AirLink|Sweden|8N|NKF|NORDFLIGHT
Batavia Air|Indonesia|Y6|BTV|BATAVIA
Bayu Indonesia Air|Indonesia|BM|BYE|BAYU
Bearskin Lake Air Service|Canada|JV|BLS|BEARSKIN
Belair Airlines|Switzerland|4T|BHP|BELAIR
Belavia Belarusian Airlines|Belarus|B2|BRU|BELARUS AVIA
Bellview Airlines|Nigeria|B3|BLV|BELLVIEW AIRLINES
Bemidji Airlines|United States|CH|BMJ|BEMIDJI
Benin Golf Air|Benin|A8|BGL|BENIN GOLF
Bering Air|United States|8E|BRG|BERING AIR
Berjaya Air|Malaysia|J8|BVT|BERJAYA
Big Sky Airlines|United States|GQ|BSY|BIG SKY
Biman Bangladesh Airlines|Bangladesh|BG|BBC|BANGLADESH
Binter Canarias|Spain|NT|IBB|BINTER
Bismillah Airlines|Bangladesh|5Z|BML|BISMILLAH
Blue Air|Romania|0B|JOR|BLUE TRANSPORT
Blue Dart Aviation|India|BZ|BDA|BLUE DART
Blue Panorama Airlines|Italy|BV|BPA|BLUE PANOROMA
Blue Wings|Germany|QW|BWG|BLUE WINGS
Blue1|Finland|KF|BLF|BLUEFIN
Bluebird Cargo|Iceland|BF|BBD|BLUE CARGO
BMI|United Kingdom|BD|BMA|MIDLAND
Bmibaby|United Kingdom|WW|BMI|BABY
Boston-Maine Airways|United States|E9|CXS|CLIPPER CONNECTION
Bouraq Indonesia Airlines|Indonesia|BO|BOU|BOURAQ
BRA-Transportes Aéreos|Brazil|7R|BRB|BRA-TRANSPAEREOS
Braniff International Airways|United States|BN|BNF|Braniff
Bravo Air Congo|Democratic Republic of the Congo|K6|BRV|BRAVO
Brit Air|France|DB|BZH|BRITAIR
British Airways|United Kingdom|BA|BAW|SPEEDBIRD
British International Helicopters|United Kingdom|BS|BIH|BRINTEL
British Mediterranean Airways|United Kingdom|KJ|LAJ|BEE MED
Brussels Airlines|Belgium|SN|BEL|BEE-LINE
Buffalo Airways|Canada|J4|BFL|BUFFALO
Bulgaria Air|Bulgaria|FB|LZB|FLYING BULGARIA
CAL Cargo Air Lines|Israel|5C|ICL|CAL
Calima Aviacion|Spain|XG|CLI|CALIMA
Calm Air|Canada|MO|CAV|CALM AIR
Camai Air|United States|R9|CAM|AIR CAMAI
Cameroon Airlines|Cameroon|UY|UYC|CAM-AIR
Canadian Airlines|Canada|CP|CDN|CANADIAN
Canadian North|Canada|5T|MPE|EMPRESS
Canadian Western Airlines|Canada|W2|CWA|CANADIAN WESTERN
CanJet|Canada|C6|CJA|CANJET
Cape Air|United States|9K|KAP|CAIR
Capital Cargo International Airlines|United States|PT|CCI|CAPPY
Cargo 360|United States|GG|GGC|LONG-HAUL
Cargoitalia|Italy|2G|CRG|WHITE PELICAN
Cargojet Airways|Canada|W8|CJT|CARGOJET
Cargolux|Luxembourg|CV|CLX|CARGOLUX
Caribbean Airlines|Trinidad and Tobago|BW|BWA|CARIBBEAN AIRLINES
Caribbean Star Airlines|Antigua and Barbuda|8B|GFI|CARIB STAR
Carpatair|Romania|V3|KRP|CARPATAIR
Caspian Airlines|Iran|RV|CPN|CASPIAN
Cathay Pacific|Hong Kong SAR of China|CX|CPA|CATHAY
Cayman Airways|Cayman Islands|KX|CAY|CAYMAN
Cebu Pacific|Philippines|5J|CEB|CEBU AIR
Centralwings|Poland|C0|CLW|CENTRALWINGS
Centre-Avia|Russia|J7|CVC|AVIACENTRE
Centurion Air Cargo|United States|WE|CWC|CHALLENGE CARGO
Chalk's International Airlines|United States|OP|CHK|CHALKS
Champion Air|United States|MG|CCP|CHAMPION AIR
Chang'an Airlines|China|2Z|CGN|CHANGAN
Chari Aviation Services|Chad|S8|CSU|CHARI SERVICE
Chicago Express|United States|C8|WDY|WINDY CITY
China Airlines|Taiwan|CI|CAL|DYNASTY
China Cargo Airlines|China|CK|CKK|CARGO KING
China Eastern Airlines|China|MU|CES|CHINA EASTERN
China Express Airlines|China|G5|HXA|CHINA EXPRESS
China Northern Airlines|China|CJ|CBF|CHINA NORTHERN
China Northwest Airlines|China|WH|CNW|CHINA NORTHWEST
China Postal Airlines|China|8Y|CYZ|CHINA POST
China Southern Airlines|China|CZ|CSN|CHINA SOUTHERN
China United Airlines|China|KN|CUA|LIANHANG
China Xinhua Airlines|China|XO|CXH|XINHUA
China Yunnan Airlines|China|3Q|CYH|YUNNAN
Chitaavia|Russia|X7|CHF|CHITA
Cielos Airlines|Peru|A2|CIU|CIELOS
Cimber Sterling|Denmark|QI|CIM|CIMBER
Cirrus Airlines|Germany|C9|RUS|CIRRUS AIR
City Airline|Sweden|CF|SDR|SWEDESTAR
City Connexion Airlines|Burundi|G3|CIX|CONNEXION
CityFlyer Express|United Kingdom|CJ|CFE|FLYER
CityJet|Ireland|WX|BCY|CITY-IRELAND
Civil Air Transport|Taiwan|CT|CAT|Mandarin
Club Air|Italy|6P|ISG|CLUBAIR
Coast Air|Norway|BX|CST|COAST CENTER
Colgan Air|United States|9L|CJC|COLGAN
Comair|United States|OH|COM|COMAIR
CommutAir|United States|C5|UCA|COMMUTAIR
Comores Airlines|Comoros|KR|CWK|CONTICOM
Compania Mexicargo|Mexico|GJ|MXC|MEXICARGO
Compass Airlines|United States|CP|CPZ|Compass Rose
Condor Flugdienst|Germany|DE|CFG|CONDOR
Continental Airlines|United States|CO|COA|CONTINENTAL
Continental Airways|Russia|PC|PVV|CONTAIR
Continental Micronesia|United States|CS|CMI|AIR MIKE
Conviasa|Venezuela|V0|VCV|CONVIASA
Copa Airlines|Panama|CM|CMP|COPA
Corsairfly|France|SS|CRL|CORSAIR
Corse-Mediterranee|France|XK|CCM|CORSICA
Cosmic Air|Nepal|F5|COZ|COSMIC AIR
Coyne Aviation|United Kingdom|7C|COY|COYNE AIR
Croatia Airlines|Croatia|OU|CTN|CROATIA
Crossair Europe|Switzerland|QE|ECC|Cigogne
Cubana de Aviación|Cuba|CU|CUB|CUBANA
Cyprus Airways|Cyprus|CY|CYP|CYPRUS
Czech Airlines|Czech Republic|OK|CSA|CSA-LINES
Daallo Airlines|Djibouti|D3|DAO|DALO AIRLINES
Dagestan Airlines|Russia|N2|DAG|DAGAL
Dalavia|Russia|H8|KHB|DALAVIA
DanubeWings|Slovakia|V5|VPA|VIP TAXI
Darwin Airline|Switzerland|0D|DWT|DARWIN
DAS Air Cargo|Uganda|WD|DSR|DAIRAIR
DAT Danish Air Transport|Denmark|DX|DTR|DANISH
Dauair|Germany|D5|DAU|DAUAIR
dba|Germany|DI|BAG|SPEEDWAY
Delta Air Lines|United States|DL|DAL|DELTA
Deutsche Rettungsflugwacht|Germany|1I|AMB|CIVIL AIR AMBULANCE
DHL International|Bahrain|ES|DHX|DILMUN
Dirgantara Air Service|Indonesia|AW|DIR|DIRGANTARA
Discovery Airways|United States|DH|DVA|DISCOVERY AIRWAYS
Djibouti Airlines|Djibouti|D8|DJB|DJIBOUTI AIR
Dominicana de Aviación|Dominican Republic|DO|DOA|DOMINICANA
Domodedovo Airlines|Russia|E3|DMO|DOMODEDOVO
DonbassAero|Ukraine|5D|UDC|DONBASS AERO
Dragonair, Hong Kong Dragon Airlines|Hong Kong|KA|HDA|DRAGON
Druk Air|Bhutan|KB|DRK|ROYAL BHUTAN
Eagle Air|Tanzania|EY|EFL|FLYING EAGLE
Eagle Airways|New Zealand|NZ|EAG|EAGLE
East African|Uganda|QU|UGX|CRANE
East African Safari Air|Kenya|S9|HSA|DUMA
Eastar Jet|South Korea|ZE|ESR|EASTAR
Eastern Airways|United Kingdom|T3|EZE|EASTFLIGHT
Eastern Australia Airlines|Australia|QF|EAQ|EASTERN
Eastwind Airlines|United States|W9|SGR|STINGER
easyJet|United Kingdom|U2|EZY|EASY
Edelweiss Air|Switzerland|WK|EDW|EDELWEISS
Egyptair|Egypt|MS|MSR|EGYPTAIR
El Al Israel Airlines|Israel|LY|ELY|ELAL
El-Buraq Air Transport|Libya|UZ|BRQ|BURAQAIR
Emirates Airline|United Arab Emirates|EK|UAE|EMIRATES
Empire Airlines|United States|EM|CFS|EMPIRE AIR
Empresa Ecuatoriana De Aviacion|Ecuador|EU|EEA|ECUATORIANA
Enkor JSC|Russia|G8|ENK|ENKOR
Eos Airlines|United States|E0|ESS|NEW DAWN
Eritrean Airlines|Eritrea|B8|ERT|ERITREAN
Estonian Air|Estonia|OV|ELL|ESTONIAN
Ethiopian Airlines|Ethiopia|ET|ETH|ETHIOPIAN
Etihad Airways|United Arab Emirates|EY|ETD|ETIHAD
EUjet|Ireland|VE|EUJ|UNION JET
EuroAtlantic Airways|Portugal|MM|MMZ|EUROATLANTIC
Eurocypria Airlines|Cyprus|UI|ECA|EUROCYPRIA
Eurofly|Italy|GJ|EEZ|E-FLY
Eurolot|Poland|K2|ELO|EUROLOT
Euromanx Airways|Austria|3W|EMX|EUROMANX
Europe Airpost|France|5O|FPO|FRENCH POST
European Air Express|Germany|EA|EAL|STAR WING
European Air Transport|Belgium|QY|BCS|EUROTRANS
European Aviation Air Charter|United Kingdom|E7|EAF|EUROCHARTER
Eurowings|Germany|EW|EWG|EUROWINGS
EVA Air|Taiwan|BR|EVA|EVA
Evergreen International Airlines|United States|EZ|EIA|EVERGREEN
Excel Airways|United Kingdom|JN|XLA|EXPO
Execair Aviation|Canada|MB|EXA|CANADIAN EXECAIRE
Executive Airlines|United States|OW|EXK|EXECUTIVE EAGLE
Expo Aviation|Sri Lanka|8D|EXV|EXPOAVIA
Express One International|United States|EO|LHN|LONGHORN
ExpressJet|United States|XE|BTA|JET LINK
Far Eastern Air Transport|Taiwan|EF|EFA|Far Eastern
Faroejet|Faroe Islands|F6|RCK|ROCKROSE
Faso Airways|Burkina Faso|F3|FSW|FASO
Federal Express|United States|FX|FDX|FEDEX
Fika Salaama Airlines|Uganda|N8|HGK|SALAAMA
Finalair Congo|Republic of the Congo|4S|FNC|FINALAIR CONGO
Finnair|Finland|AY|FIN|FINNAIR
Finncomm Airlines|Finland|FC|WBA|WESTBIRD
Firefly|Malaysia|FY|FFM|FIREFLY
First Choice Airways|United Kingdom|DP|FCA|JETSET
Fischer Air|Czech Republic|8F|FFR|FISCHER
Flightline|United Kingdom|B5|FLT|FLIGHTLINE
Florida Coastal Airlines|United States|PA|FCL|FLORIDA COASTAL
Florida West International Airways|United States|RF|FWL|FLO WEST
Fly Air|Turkey|F2|FLM|FLY WORLD
Fly Me Sweden|Sweden|SH|FLY|FLYBIRD
FlyAsianXpress|Malaysia|D7|XFA|FAX AIR
Flybaboo|Switzerland|F7|BBO|BABOO
Flybe|United Kingdom|BE|BEE|JERSEY
Flydubai|UAE|FZ|FDB|SKYDUBAI
Flyglobespan|United Kingdom|B4|GSM|GLOBESPAN
Flyhy Cargo Airlines|Thailand|W3|FYH|FLY HIGH
FlyLal|Lithuania|TE|LIL|LITHUANIA AIR
FlyNordic|Sweden|LF|NDC|NORDIC
Four Star Aviation Four Star Cargo|United States|HK|FSC|FOUR STAR
Freebird Airlines|Turkey|FH|FHY|FREEBIRD AIR
Freedom Air|New Zealand|SJ|FOM|FREE AIR
Frontier Airlines|United States|F9|FFT|FRONTIER FLIGHT
Frontier Flying Service|United States|2F|FTA|FRONTIER-AIR
Futura International Airways|Spain|FH|FUA|FUTURA
Galaxy Air|Kyrgyzstan|7O|GAL|GALAXY
Gambia International Airlines|Gambia|GC|GNR|GAMBIA INTERNATIONAL
Gandalf Airlines|Italy|G7|GNF|Gandalf
Garuda Indonesia|Indonesia|GA|GIA|INDONESIA
Gazpromavia|Russia|4G|GZP|GAZPROMAVIA
GB Airways|United Kingdom|GT|GBL|GEEBEE AIRWAYS
Gemini Air Cargo|United States|GR|GCO|GEMINI
Georgian Airways|Georgia|A9|TGZ|TAMAZI
Georgian National Airlines|Georgia|QB|GFG|NATIONAL
Germania|Germany|ST|GMI|GERMANIA
Germanwings|Germany|4U|GWI|GERMAN WINGS
Gestair|Spain|GP|GES|GESTAIR
Ghana Airways|Ghana|GH|GHA|GHANA
Ghana International Airlines|Ghana|G0|GHB|GHANA AIRLINES
Go Air|India|G8|GOW|GOAIR
GoJet Airlines|United States|G7|GJS|LINDBERGH
Gol Transportes Aéreos|Brazil|G3|GLO|GOL TRANSPORTE
Golden Air|Sweden|DC|GAO|GOLDEN
Grant Aviation|United States|GS|GUN|HOOT
Great Lakes Airlines|United States|ZK|GLA|LAKES AIR
Great Wall Airlines|China|IJ|GWL|GREAT WALL
Guine Bissaur Airlines|Guinea-Bissau|G6|BSR|BISSAU AIRLINES
Guinee Airlines|Guinea|J9|GIF|GUINEE AIRLINES
Gujarat Airways|India|G8|GUJ|GUJARATAIR
Gulf Air Bahrain|Bahrain|GF|GBA|GULF BAHRAIN
Hageland Aviation Services|United States|H6|HAG|HAGELAND
Hahn Air|Germany|HR|HHN|ROOSTER
Hainan Airlines|China|HU|CHH|HAINAN
Hamburg International|Germany|4R|HHI|HAMBURG JET
Hapag-Lloyd Express (TUIfly)|Germany|X3|HLX|YELLOW CAB
Hapagfly|Germany|HF|HLF|HAPAG LLOYD
Harbor Airlines|United States|HB|HAR|HARBOR
